商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
秋冬季新款韩版潮流ins假两件加肥加大长袖t恤男胖子宽松大码上衣,210411-468839302121692,待发货,25.9	,0.0	,0.0	,25.9	,25.9	,1	,	,	,164373803775	,"【单件】路飞白色,3XL",657688365268	,	,无售后或售后取消,	,	,2021-04-11 23:17:17,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-477986817150744,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23白+G30白,6XL 建议240-270斤",798235364657	,	,无售后或售后取消,	,	,2021-04-11 23:14:04,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-651627725781154,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"J60黑+SO11灰,8XL 建议310-350斤",797118881708	,	,无售后或售后取消,	,	,2021-04-11 23:12:21,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-520361084002586,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G23黑,5XL 建议210-240斤",798235364592	,	,无售后或售后取消,	,	,2021-04-11 23:11:17,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-073326920703296,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28白+G30白,8XL 建议310-350斤",798236015632	,	,无售后或售后取消,	,	,2021-04-11 23:10:22,否,	,	,	
加肥加大码印花束脚裤子2021新款男士潮流百搭休闲运动卫裤男学生,210411-249866486793649,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,223754188114	,"G20黑+G23黑,5XL 建议210-240斤",804756794779	,	,无售后或售后取消,	,	,2021-04-11 23:04:38,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-160017941611347,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23白+G28黑,5XL 建议210-240斤",798235364648	,	,无售后或售后取消,	,	,2021-04-11 23:03:36,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-514288518210416,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,220841637576	,"G23黑,5XL 建议210-240斤",797756287084	,	,无售后或售后取消,	,	,2021-04-11 22:59:51,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-279216129090416,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,220841637576	,"G23白,6XL 建议240-270斤",797756287094	,	,无售后或售后取消,	,	,2021-04-11 22:59:30,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210411-242232853650452,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220536989085	,"J60黑,3XL 建议150-180斤",797118218256	,	,无售后或售后取消,	,	,2021-04-11 22:59:18,否,	,	,	
夏季宽松胖子加肥加大码2021新款韩版潮流港风ins短袖学生肥佬装,210411-294811075621483,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,227045574493	,"T165黑+T165白,2XL 建议130-150斤",813033260667	,	,无售后或售后取消,	,	,2021-04-11 22:59:06,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210411-135639860230035,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G23黑+G26黑,6XL 建议240-270斤",797756287148	,	,无售后或售后取消,	,	,2021-04-11 22:58:52,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-452979590302578,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24黑+G34黑,2XL 建议130-150斤",797752827832	,	,无售后或售后取消,	,	,2021-04-11 22:52:45,否,	,	,	
